Title,Property Size,Bedrooms,Bathrooms,Furnishing,Region,Region Name,Region Parent Name,Is Boost,Price
5bdrm Duplex in Lekki Phase 1 for sale,350.0,5,5,Unfurnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lagos State,Diamond,750000000.0
Furnished 4bdrm Duplex in Jahi for sale,3000.0,4,4,Furnished,"Abuja (FCT), Jahi",Jahi,Abuja (FCT),Basic,470000000.0
Furnished 4bdrm Duplex in Benin City for sale,100.0,4,4,Furnished,"Edo State, Benin City",Benin City,Edo State,False,200000000.0
Furnished 2bdrm Apartment in Lekki Phase 1 for sale,350.0,2,2,Furnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lagos State,Diamond,500000000.0
"4bdrm Bungalow in Kadara Estate, Igbogbo for sale",600.0,4,4,Unfurnished,"Ikorodu, Igbogbo",Igbogbo,Lagos State,False,38000000.0
"4bdrm Duplex in Estate, Jahi for sale",1500.0,4,4,Semi Furnished,"Abuja (FCT), Jahi",Jahi,Abuja (FCT),Enterprise,320000000.0
3bdrm Bungalow in Standard Estate for sale,500.0,3,3,Unfurnished,"Abuja (FCT), Galadimawa",Galadimawa,Abuja (FCT),Basic,170000000.0
3bdrm Block of Flats in Ado-Odo/Ota for sale,900.0,3,4,Semi Furnished,"Ogun State, Ado-Odo/Ota",Ado-Odo/Ota,Ogun State,False,15000000.0
Furnished 3bdrm Apartment in Old Ikoyi for sale,500.0,3,3,Furnished,"Ikoyi, Old Ikoyi",Old Ikoyi,Lagos State,Diamond,700000000.0
4bdrm Duplex in Thomas Estate for sale,300.0,4,4,Semi Furnished,"Ajah, Thomas Estate",Thomas Estate,Lagos State,Enterprise,150000000.0
"4bdrm Duplex in 7Th Avenue, Bunkoro for sale",600.0,4,5,Semi Furnished,"Gwarinpa, Bunkoro",Bunkoro,Abuja (FCT),False,290000000.0
5bdrm Duplex in Guzape District for sale,700.0,5,5,Unfurnished,"Abuja (FCT), Guzape District",Guzape District,Abuja (FCT),False,650000000.0
