title,property_size,bedrooms,bathrooms,furnishing,region,region_name,region_parent_name,is_boost,price
5bdrm Apartment in Surulere for sale,450.0,5,5,unfurnished,"Lagos State, Surulere",Surulere,Lagos State,False,"₦ 180,000,000"
"4bdrm Duplex in Estate, Rukpokwu for sale",450.0,4,4,unfurnished,"Port-Harcourt, Rukpokwu",Rukpokwu,Port-Harcourt,diamond,"₦ 170,000,000"
"Furnished 4bdrm Bungalow in Fashola Estate, Igbogbo for sale",600.0,4,4,furnished,"Ikorodu, Igbogbo",Igbogbo,Ikorodu,diamond,"₦ 50,000,000"
5bdrm Duplex in Ikota for sale,600.0,5,5,unfurnished,"Lekki, Ikota",Ikota,Lekki,enterprise,"₦ 450,000,000"
5bdrm Duplex in Ikota for sale,600.0,5,5,unfurnished,"Lekki, Ikota",Ikota,Lekki,enterprise,"₦ 300,000,000"
4bdrm Duplex in Port-Harcourt for sale,465.0,4,5,unfurnished,"Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,diamond,"₦ 330,000,000"
"Furnished 3bdrm Bungalow in Ariyibe Street Last, Ibadan for sale",1200.0,3,3,furnished,"Oyo State, Ibadan",Ibadan,Oyo State,False,"₦ 70,000,000"
"5bdrm Duplex in Banana, Ikoyi for sale",400.0,5,5,unfurnished,"Lagos State, Ikoyi",Ikoyi,Lagos State,False,"₦ 2,500,000,000"
"4bdrm Duplex in Ajah, Lekki for sale",450.0,4,4,unfurnished,"Lagos State, Lekki",Lekki,Lagos State,False,"₦ 190,000,000"
"5bdrm Duplex in Resident Estate, Lekki Phase 1 for sale",420.0,5,5,unfurnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lekki,False,"₦ 850,000,000"
4bdrm Duplex in Ogba Ikeja for sale,350.0,4,4,unfurnished,"Lagos State, Ikeja",Ikeja,Lagos State,False,"₦ 290,000,000"
4bdrm Duplex in Ikeja Gra for sale,700.0,4,4,unfurnished,"Lagos State, Ikeja",Ikeja,Lagos State,False,"₦ 850,000,000"
5bdrm Duplex in Magodo for sale,350.0,5,5,unfurnished,"Lagos State, Magodo",Magodo,Lagos State,False,"₦ 450,000,000"
"Furnished 4bdrm Duplex in Inside An, Abule Egba for sale",600.0,4,4,furnished,"Lagos State, Abule Egba",Abule Egba,Lagos State,False,"₦ 180,000,000"
4bdrm Duplex in Surulere for sale,400.0,4,4,unfurnished,"Lagos State, Surulere",Surulere,Lagos State,False,"₦ 270,000,000"
2bdrm Apartment in Lekki for sale,650.0,2,3,unfurnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lekki,False,"₦ 270,000,000"
"4bdrm Duplex in College Road, Ogba for sale",638.0,4,4,semi-furnished,"Lagos State, Ogba",Ogba,Lagos State,False,"₦ 400,000,000"
5bdrm Duplex in Chevron for sale,600.0,5,5,unfurnished,"Lekki, Chevron",Chevron,Lekki,enterprise,"₦ 350,000,000"
2bdrm Apartment in Katampe for sale,1500.0,2,3,unfurnished,"Katampe, Katampe (Main)",Katampe (Main),Katampe,False,"₦ 135,000,000"
"4bdrm Duplex in Ajah, Lekki for sale",450.0,4,4,unfurnished,"Lagos State, Lekki",Lekki,Lagos State,False,"₦ 220,000,000"
5bdrm Duplex in Adeniyi Jones for sale,500.0,5,5,unfurnished,"Ikeja, Adeniyi Jones",Adeniyi Jones,Ikeja,False,"₦ 600,000,000"
"5bdrm House in Opic Estate, Isheri North for sale",638.0,5,5,unfurnished,"Ojodu, Isheri North",Isheri North,Ojodu,False,"₦ 320,000,000"
4bdrm Duplex in Magodo for sale,630.0,4,4,unfurnished,"Lagos State, Magodo",Magodo,Lagos State,False,"₦ 450,000,000"
4bdrm Duplex in Ogba for sale,635.0,4,4,unfurnished,"Ogba, Ogba Industrial Estate",Ogba Industrial Estate,Ogba,False,"₦ 260,000,000"
3bdrm Block of Flats in Opebi for sale,635.0,3,3,unfurnished,"Ikeja, Opebi",Opebi,Ikeja,False,"₦ 300,000,000"
"4bdrm Duplex in New Road, Obio-Akpor for sale",350.0,4,4,unfurnished,"Rivers State, Obio-Akpor",Obio-Akpor,Rivers State,diamond,"₦ 220,000,000"
"4bdrm Bungalow in Omachi Estate, Port-Harcourt for sale",300.0,4,5,unfurnished,"Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,diamond,"₦ 90,000,000"
"5bdrm Duplex in Cedarwood Estate, Port-Harcourt for sale",1000.0,5,6,semi-furnished,"Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,diamond,"₦ 650,000,000"
"7bdrm Duplex in Gwarimpa Extension, Port-Harcourt for sale",900.0,7,8,unfurnished,"Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,diamond,"₦ 460,000,000"
Furnished 4bdrm Duplex in Ikota for sale,500.0,4,4,furnished,"Lekki, Ikota",Ikota,Lekki,False,"₦ 110,000,000"
"4bdrm Duplex in Thomas Estate, Ajah for sale",640.0,4,4,unfurnished,"Lagos State, Ajah",Ajah,Lagos State,False,"₦ 120,000,000"
"5bdrm Duplex in Phase 1, Magodo for sale",600.0,5,5,unfurnished,"Lagos State, Magodo",Magodo,Lagos State,False,"₦ 350,000,000"
5bdrm Duplex in Ikoyi for sale,638.0,5,5,unfurnished,"Ikoyi, Ikoyi S.W",Ikoyi S.W,Ikoyi,False,"₦ 3,500,000,000"
"5bdrm Duplex in Kola Estate, Ifako-Ijaiye for sale",680.0,5,5,unfurnished,"Lagos State, Ifako-Ijaiye",Ifako-Ijaiye,Lagos State,False,"₦ 190,000,000"
"4bdrm Apartment in Ivory Height, Eneka for sale",300.0,4,4,unfurnished,"Port-Harcourt, Eneka",Eneka,Port-Harcourt,diamond,"₦ 250,000,000"
4bdrm Apartment in Banana Ikoyi for sale,300.0,4,4,semi-furnished,"Lagos State, Ikoyi",Ikoyi,Lagos State,vip_gold,"₦ 3,692,468,000"
2bdrm Apartment in Ologolo for sale,200.0,2,2,semi-furnished,"Lekki, Ologolo",Ologolo,Lekki,vip_gold,"₦ 150,000,000"
5bdrm Duplex in Ajah for sale,500.0,5,5,unfurnished,"Lagos State, Ajah",Ajah,Lagos State,enterprise,"₦ 250,000,000"
"3bdrm Duplex in Shell Cooperative, Port-Harcourt for sale",300.0,3,4,unfurnished,"Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,diamond,"₦ 150,000,000"
7bdrm Duplex in Port-Harcourt for sale,700.0,7,8,unfurnished,"Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,diamond,"₦ 250,000,000"
4bdrm Bungalow in Port-Harcourt for sale,465.0,4,5,unfurnished,"Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,diamond,"₦ 65,000,000"
4bdrm Duplex in Magodo Phase 1 for sale,634.0,4,4,unfurnished,"Lagos State, Magodo",Magodo,Lagos State,False,"₦ 310,000,000"
4bdrm Duplex in Magodo Phase 2 for sale,635.0,4,4,unfurnished,"Magodo, GRA Phase 2 Shangisha",GRA Phase 2 Shangisha,Magodo,False,"₦ 520,000,000"
4bdrm Duplex in Victoria Island for sale,600.0,4,4,unfurnished,"Lagos State, Victoria Island",Victoria Island,Lagos State,enterprise,"₦ 30,000,000"
"2bdrm Block of Flats in Radio Estate, Port for sale",600.0,2,3,unfurnished,"Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,diamond,"₦ 160,000,000"
Furnished 3bdrm Block of Flats in Ketu for sale,424.0,3,3,furnished,"Kosofe, Ketu-Ikosi",Ketu-Ikosi,Kosofe,basic,"₦ 300,000,000"
"3bdrm Apartment in Emmiers Estate, Off Lekki-Epe Expressway for sale",250.0,3,3,semi-furnished,"Ajah, Off Lekki-Epe Expressway",Off Lekki-Epe Expressway,Ajah,diamond,"₦ 110,000,000"
5bdrm Duplex in Ibeju for sale,600.0,5,5,unfurnished,"Lagos State, Ibeju",Ibeju,Lagos State,enterprise,"₦ 400,000,000"
4bdrm Bungalow in Port-Harcourt for sale,465.0,4,5,unfurnished,"Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,diamond,"₦ 70,000,000"
"4bdrm Duplex in Ivory Height, Port-Harcourt for sale",310.0,4,5,unfurnished,"Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,diamond,"₦ 200,000,000"
"6bdrm Duplex in Ikate, Lekki for sale",640.0,6,6,unfurnished,"Lagos State, Lekki",Lekki,Lagos State,False,"₦ 450,000,000"
4bdrm Duplex in Maryland for sale,600.0,4,4,unfurnished,"Lagos State, Maryland",Maryland,Lagos State,False,"₦ 280,000,000"
5bdrm Duplex in Ikeja Gra for sale,400.0,5,5,unfurnished,"Lagos State, Ikeja",Ikeja,Lagos State,False,"₦ 1,200,000,000"
"3bdrm Duplex in Nil, Lekki Phase 1 for sale",640.0,3,3,unfurnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lekki,False,"₦ 410,000,000"
3bdrm Bungalow in Elerangbe for sale,300.0,3,3,semi-furnished,"Ibeju, Elerangbe",Elerangbe,Ibeju,diamond,"₦ 85,000,000"
3bdrm Duplex in Ajah for sale,600.0,3,3,unfurnished,"Lagos State, Ajah",Ajah,Lagos State,enterprise,"₦ 87,000,000"
5bdrm Duplex in Port-Harcourt for sale,500.0,5,6,semi-furnished,"Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,diamond,"₦ 350,000,000"
"Furnished 5bdrm Duplex in Naf Harmony, Port-Harcourt for sale",550.0,5,6,furnished,"Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,diamond,"₦ 950,000,000"
Furnished 5bdrm Duplex in Chevron Lekki for sale,500.0,5,5,furnished,"Lekki, Chevron",Chevron,Lekki,False,"₦ 350,000,000"
2bdrm Apartment in Ilasan for sale,200.0,2,2,semi-furnished,"Lekki, Ilasan",Ilasan,Lekki,vip_gold,"₦ 140,000,000"
"3bdrm Bungalow in Gbekuba, Oluyole for sale",720.0,3,5,unfurnished,"Oyo State, Oluyole",Oluyole,Oyo State,diamond,"₦ 35,000,000"
2bdrm Apartment in Ikate for sale,1000.0,2,2,unfurnished,"Lekki, Ikate",Ikate,Lekki,diamond,"₦ 160,000,000"
5bdrm Duplex in Ikate for sale,300.0,5,5,semi-furnished,"Lekki, Ikate",Ikate,Lekki,vip_gold,"₦ 980,000,000"
"4bdrm Duplex in Shell Cooperative, Port-Harcourt for sale",465.0,4,5,unfurnished,"Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,diamond,"₦ 270,000,000"
2bdrm Apartment in Magodo for sale,150.0,2,2,unfurnished,"Lagos State, Magodo",Magodo,Lagos State,False,"₦ 100,000,000"
4bdrm Duplex in Magodo Phase1 for sale,400.0,4,4,unfurnished,"Lagos State, Magodo",Magodo,Lagos State,False,"₦ 180,000,000"
4bdrm Duplex in Oregun Ikeja for sale,450.0,4,4,unfurnished,"Lagos State, Ikeja",Ikeja,Lagos State,False,"₦ 290,000,000"
"5bdrm Duplex in Opic, Isheri North for sale",430.0,5,5,unfurnished,"Ojodu, Isheri North",Isheri North,Ojodu,False,"₦ 260,000,000"
5bdrm Duplex in Ogudu Gra Phase 1 for sale,635.0,5,5,unfurnished,"Ogudu, Ogudu GRA",Ogudu GRA,Ogudu,False,"₦ 570,000,000"
"5bdrm Duplex in Shell Cooperative, Eneka for sale",500.0,5,5,unfurnished,"Port-Harcourt, Eneka",Eneka,Port-Harcourt,diamond,"₦ 300,000,000"
4bdrm Duplex in Ibeju for sale,600.0,4,4,unfurnished,"Lagos State, Ibeju",Ibeju,Lagos State,enterprise,"₦ 130,000,000"
"3bdrm Bungalow in Talazo Gbekuba, Ibadan for sale",720.0,3,4,semi-furnished,"Oyo State, Ibadan",Ibadan,Oyo State,vip,"₦ 35,000,000"
"6bdrm Duplex in Peter Odili, Okuru for sale",465.0,6,6,semi-furnished,"Port-Harcourt, Okuru",Okuru,Port-Harcourt,vip,"₦ 480,000,000"
"4bdrm Duplex in Woji Estate, Port-Harcourt for sale",465.0,4,5,unfurnished,"Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,diamond,"₦ 250,000,000"
"Furnished 5bdrm Duplex in Centenary Garden, Port-Harcourt for sale",465.0,5,6,furnished,"Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,diamond,"₦ 600,000,000"
5bdrm Bungalow in Port-Harcourt for sale,500.0,5,6,unfurnished,"Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,diamond,"₦ 70,000,000"
"5bdrm Duplex in Pearl Garden Estate, Port-Harcourt for sale",450.0,5,5,unfurnished,"Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,diamond,"₦ 350,000,000"
"3bdrm Bungalow in Nddc, Estate, Port-Harcourt for sale",465.0,3,4,unfurnished,"Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,diamond,"₦ 85,000,000"
Furnished 3bdrm Apartment in Abeokuta for sale,500.0,3,3,furnished,"Ogun State, Abeokuta South",Abeokuta South,Ogun State,False,"₦ 35,000,000"
"3bdrm Bungalow in Scc Road, Ushafa for sale",400.0,3,4,unfurnished,"Bwari, Ushafa",Ushafa,Bwari,False,"₦ 90,000,000"
4bdrm Duplex in Magodo Phase 2 for sale,550.0,4,4,unfurnished,"Magodo, GRA Phase 2 Shangisha",GRA Phase 2 Shangisha,Magodo,False,"₦ 560,000,000"
"Furnished 4bdrm Duplex in Gated Close And, Igando / Ikotun/Igando",650.0,4,4,furnished,"Ikotun/Igando, Igando / Ikotun/Igando",Igando / Ikotun/Igando,Ikotun/Igando,False,"₦ 450,000,000"
3bdrm Apartment in Yaba for sale,635.0,3,3,unfurnished,"Lagos State, Yaba",Yaba,Lagos State,False,"₦ 150,000,000"
"5bdrm Duplex in Alimosho, Egbeda for sale",500.0,5,6,unfurnished,"Oyo State, Egbeda",Egbeda,Oyo State,False,"₦ 250,000,000"
5bdrm Duplex in Chevron for sale,400.0,5,5,semi-furnished,"Lekki, Chevron",Chevron,Lekki,vip_gold,"₦ 680,000,000"
2bdrm Apartment in Ikate for sale,200.0,2,2,semi-furnished,"Lekki, Ikate",Ikate,Lekki,vip_gold,"₦ 320,000,000"
2bdrm Apartment in Ikate for sale,200.0,2,2,semi-furnished,"Lekki, Ikate",Ikate,Lekki,vip_gold,"₦ 250,000,000"
5bdrm Duplex in Ikota for sale,400.0,5,5,unfurnished,"Lekki, Ikota",Ikota,Lekki,enterprise,"₦ 270,000,000"
5bdrm Duplex in Ikota for sale,600.0,5,5,unfurnished,"Lekki, Ikota",Ikota,Lekki,enterprise,"₦ 400,000,000"
2bdrm Duplex in Port-Harcourt for sale,700.0,2,3,unfurnished,"Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,diamond,"₦ 400,000,000"
"4bdrm Duplex in Akwaka Estate, Port-Harcourt for sale",300.0,4,5,unfurnished,"Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,diamond,"₦ 190,000,000"
2bdrm Apartment in Victoria Island for sale,300.0,2,2,semi-furnished,"Lagos State, Victoria Island",Victoria Island,Lagos State,vip_gold,"₦ 550,000,000"
3bdrm Apartment in Ikate for sale,300.0,3,3,semi-furnished,"Lekki, Ikate",Ikate,Lekki,vip_gold,"₦ 100,000,000"
4bdrm Duplex in Adeniyi Jones for sale,550.0,4,4,unfurnished,"Ikeja, Adeniyi Jones",Adeniyi Jones,Ikeja,False,"₦ 420,000,000"
4bdrm Duplex in Ifako Ogba for sale,520.0,4,4,unfurnished,"Ogba, Ifako-Ogba",Ifako-Ogba,Ogba,False,"₦ 200,000,000"
4bdrm Duplex in Dideolu Estate Ogba for sale,550.0,4,4,unfurnished,"Lagos State, Ogba",Ogba,Lagos State,False,"₦ 185,000,000"
6bdrm Duplex in Banana Island Ikoyi for sale,500.0,6,6,unfurnished,"Ikoyi, Banana Island",Banana Island,Ikoyi,False,"₦ 4,200,000,000"
5bdrm Duplex in Opebi for sale,635.0,5,5,unfurnished,"Ikeja, Opebi",Opebi,Ikeja,False,"₦ 330,000,000"
4bdrm Apartment in Ologolo Lekki With for sale,500.0,4,4,unfurnished,"Lekki, Ologolo",Ologolo,Lekki,diamond,"₦ 200,000,000"
"4bdrm Duplex in Capital City Estate, Rukpokwu for sale",550.0,4,4,unfurnished,"Port-Harcourt, Rukpokwu",Rukpokwu,Port-Harcourt,diamond,"₦ 300,000,000"
"Furnished 3bdrm Bungalow in Ofin Estate, Ikorodu for sale",600.0,3,3,furnished,"Lagos State, Ikorodu",Ikorodu,Lagos State,diamond,"₦ 23,000,000"
5bdrm Duplex in Osapa london for sale,400.0,5,5,semi-furnished,"Lekki, Osapa london",Osapa london,Lekki,vip_gold,"₦ 550,000,000"
"4bdrm Duplex in Radio Estate, Port-Harcourt for sale",500.0,4,5,semi-furnished,"Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,diamond,"₦ 300,000,000"
2bdrm Block of Flats in Port-Harcourt for sale,930.0,2,3,unfurnished,"Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,diamond,"₦ 320,000,000"
4bdrm Duplex in Sangotedo for sale,400.0,4,4,unfurnished,"Ajah, Sangotedo",Sangotedo,Ajah,enterprise,"₦ 100,000,000"
4bdrm Duplex in Chevron for sale,400.0,4,4,semi-furnished,"Lekki, Chevron",Chevron,Lekki,vip_gold,"₦ 290,000,000"
2bdrm Block of Flats in Abaranje for sale,632.0,2,2,unfurnished,"Ikotun/Igando, Abaranje",Abaranje,Ikotun/Igando,False,"₦ 100,000,000"
"5bdrm Duplex in Ajah, Lekki for sale",400.0,5,5,unfurnished,"Lagos State, Lekki",Lekki,Lagos State,False,"₦ 275,000,000"
4bdrm Duplex in Maryland for sale,530.0,4,4,unfurnished,"Lagos State, Maryland",Maryland,Lagos State,False,"₦ 320,000,000"
3bdrm Block of Flats in Ikeja Toyin Street for sale,635.0,3,3,unfurnished,"Ikeja, Toyin Street",Toyin Street,Ikeja,False,"₦ 750,000,000"
2bdrm Apartment in Victoria Island for sale,300.0,2,2,semi-furnished,"Lagos State, Victoria Island",Victoria Island,Lagos State,vip_gold,"₦ 420,000,000"
12bdrm Duplex in Akala Express for sale,600.0,12,12,unfurnished,"Ibadan, Akala Express",Akala Express,Ibadan,vip,"₦ 85,000,000"
2bdrm Apartment in Victoria Island for sale,300.0,2,2,semi-furnished,"Lagos State, Victoria Island",Victoria Island,Lagos State,vip_gold,"₦ 500,000,000"
"Furnished 4bdrm Duplex in Golf Reserve, Port-Harcourt for sale",500.0,4,5,furnished,"Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,diamond,"₦ 300,000,000"
4bdrm Duplex in Cele Egbe Agodo for sale,150.0,4,5,semi-furnished,"Isolo, Cele",Cele,Isolo,enterprise,"₦ 200,000,000"
4bdrm Duplex in Ojodu for sale,500.0,4,4,unfurnished,"Lagos State, Ojodu",Ojodu,Lagos State,False,"₦ 280,000,000"
5bdrm Duplex in Magodo Gra Phase 1 for sale,500.0,5,5,unfurnished,"Lagos State, Magodo",Magodo,Lagos State,False,"₦ 500,000,000"
Furnished 2bdrm Bungalow in Sagamu for sale,600.0,2,4,furnished,"Ogun State, Sagamu",Sagamu,Ogun State,vip,"₦ 45,000,000"
4bdrm Duplex in Sangotedo for sale,600.0,4,4,unfurnished,"Ajah, Sangotedo",Sangotedo,Ajah,enterprise,"₦ 155,000,000"
2bdrm Apartment in Ikate for sale,300.0,2,2,semi-furnished,"Lekki, Ikate",Ikate,Lekki,vip_gold,"₦ 160,000,000"
"4bdrm Duplex in Ochid, Lekki for sale",650.0,4,4,unfurnished,"Lagos State, Lekki",Lekki,Lagos State,False,"₦ 190,000,000"
"Furnished 3bdrm Bungalow in Alafara, Ibadan for sale",500.0,3,4,furnished,"Oyo State, Ibadan",Ibadan,Oyo State,vip,"₦ 90,000,000"
"4bdrm Duplex in Lekki Pearl Gardens, Sangotedo for sale",320.0,4,4,semi-furnished,"Ajah, Sangotedo",Sangotedo,Ajah,enterprise,"₦ 150,000,000"
Furnished 5bdrm Duplex in Dawaki Estate for sale,500.0,5,5,furnished,"Gwarinpa, Dawaki",Dawaki,Gwarinpa,False,"₦ 350,000,000"
"3bdrm Block of Flats in Osapa London, Lekki for sale",650.0,3,3,unfurnished,"Lagos State, Lekki",Lekki,Lagos State,False,"₦ 150,000,000"
4bdrm Duplex in Omole Phase 1 for sale,650.0,4,4,unfurnished,"Ikeja, Omole Phase 1",Omole Phase 1,Ikeja,False,"₦ 350,000,000"
4bdrm Duplex in Gbagada for sale,600.0,4,4,unfurnished,"Lagos State, Gbagada",Gbagada,Lagos State,False,"₦ 370,000,000"
5bdrm Duplex in Gbagada for sale,500.0,5,5,unfurnished,"Lagos State, Gbagada",Gbagada,Lagos State,False,"₦ 420,000,000"
5bdrm Duplex in Adeniyi Jones for sale,550.0,5,5,unfurnished,"Ikeja, Adeniyi Jones",Adeniyi Jones,Ikeja,False,"₦ 400,000,000"
"4bdrm Bungalow in Kasumu, Ibadan for sale",600.0,4,4,semi-furnished,"Oyo State, Ibadan",Ibadan,Oyo State,vip,"₦ 65,000,000"
Furnished 3bdrm Block of Flats in Alapere for sale,600.0,3,3,furnished,"Kosofe, Ketu-Alapere",Ketu-Alapere,Kosofe,enterprise,"₦ 200,000,000"
4bdrm Duplex in Omole Phase 2 for sale,450.0,4,4,unfurnished,"Ikeja, Omole Phase 2",Omole Phase 2,Ikeja,False,"₦ 290,000,000"
5bdrm Duplex in Ikoyi for sale,400.0,5,5,unfurnished,"Lagos State, Ikoyi",Ikoyi,Lagos State,False,"₦ 2,500,000,000"
"Furnished 4bdrm Duplex in A Private Estate, Lekki for sale",638.0,4,4,furnished,"Lagos State, Lekki",Lekki,Lagos State,False,"₦ 125,000,000"
4bdrm Duplex in Ogudu Hra for sale,530.0,4,4,unfurnished,"Ogudu, Ogudu GRA",Ogudu GRA,Ogudu,False,"₦ 250,000,000"
"3bdrm Block of Flats in Greenville, Alausa for sale",635.0,3,3,unfurnished,"Ikeja, Alausa",Alausa,Ikeja,False,"₦ 120,000,000"
"3bdrm Block of Flats in Awuse, Ikeja for sale",450.0,3,3,unfurnished,"Lagos State, Ikeja",Ikeja,Lagos State,False,"₦ 290,000,000"
"3bdrm Block of Flats in Alakuko, Alagbado for sale",634.0,3,3,unfurnished,"Ifako-Ijaiye, Alagbado",Alagbado,Ifako-Ijaiye,False,"₦ 85,000,000"
"8bdrm Duplex in Agbama Housing, Umuahia for sale",465.0,8,8,unfurnished,"Abia State, Umuahia",Umuahia,Abia State,diamond,"₦ 65,000,000"
"Furnished 5bdrm Duplex in Harmony Estate, Port-Harcourt for sale",300.0,5,6,furnished,"Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,diamond,"₦ 400,000,000"
4bdrm Duplex in Port-Harcourt for sale,400.0,4,5,unfurnished,"Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,diamond,"₦ 250,000,000"
"5bdrm Duplex in Seman Estate, Sabon Lugbe for sale",800.0,5,7,unfurnished,"Lugbe District, Sabon Lugbe",Sabon Lugbe,Lugbe District,False,"₦ 120,000,000"
"4bdrm Duplex in Shell Cooperative, Port-Harcourt for sale",350.0,4,5,semi-furnished,"Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,diamond,"₦ 120,000,000"
"3bdrm Block of Flats in Ogo Oluwa Estate, Akobo for sale",1672.0,3,4,unfurnished,"Ibadan, Akobo",Akobo,Ibadan,diamond,"₦ 250,000,000"
"Furnished 1bdrm Block of Flats in Brick City, Kubwa for sale",50.0,1,1,furnished,"Abuja (FCT), Kubwa",Kubwa,Abuja (FCT),diamond,"₦ 30,000,000"
4bdrm Duplex in Lekki Phase 1 for sale,300.0,4,4,unfurnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lekki,vip_gold,"₦ 500,000,000"
2bdrm Apartment in Lekki Phase 1 for sale,200.0,2,2,semi-furnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lekki,vip_gold,"₦ 240,000,000"
Furnished 2bdrm Apartment in Lekki Phase 1 for sale,300.0,2,2,furnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lekki,vip_gold,"₦ 400,000,000"
"4bdrm Duplex in Mountain View Estate, Dawaki for sale",500.0,4,5,unfurnished,"Gwarinpa, Dawaki",Dawaki,Gwarinpa,False,"₦ 175,000,000"
"3bdrm Bungalow in Majesty Estate, Port-Harcourt for sale",300.0,3,4,semi-furnished,"Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,diamond,"₦ 100,000,000"
3bdrm Apartment in Ilasan for sale,200.0,3,3,semi-furnished,"Lekki, Ilasan",Ilasan,Lekki,vip_gold,"₦ 260,000,000"
"7bdrm Duplex in Gwarimpa Extension, Gwarinpa for sale",700.0,7,8,unfurnished,"Abuja (FCT), Gwarinpa",Gwarinpa,Abuja (FCT),diamond,"₦ 550,000,000"
"2bdrm Block of Flats in Unity Estate, Port-Harcourt for sale",930.0,2,3,unfurnished,"Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,diamond,"₦ 185,000,000"
Furnished 1bdrm Apartment in Lekki Phase 1 for sale,150.0,1,2,furnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lekki,vip_gold,"₦ 250,000,000"
4bdrm Bungalow in Port-Harcourt for sale,465.0,4,5,unfurnished,"Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,diamond,"₦ 150,000,000"
"4bdrm Duplex in Ivory Height Estate, Port-Harcourt for sale",1000.0,4,5,unfurnished,"Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,diamond,"₦ 400,000,000"
Furnished 4bdrm Duplex in Port-Harcourt for sale,465.0,4,5,furnished,"Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,diamond,"₦ 150,000,000"
1bdrm Apartment in Victoria Island for sale,300.0,1,1,semi-furnished,"Lagos State, Victoria Island",Victoria Island,Lagos State,vip_gold,"₦ 300,000,000"
"4bdrm Duplex in Shell Cooperative, Port-Harcourt for sale",500.0,4,5,unfurnished,"Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,diamond,"₦ 200,000,000"
4bdrm Duplex in Port-Harcourt for sale,400.0,4,5,unfurnished,"Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,diamond,"₦ 130,000,000"
"4bdrm Duplex in Hilltop Estate, Owerri for sale",450.0,4,5,unfurnished,"Imo State, Owerri",Owerri,Imo State,diamond,"₦ 250,000,000"
Furnished 4bdrm Duplex in Maryland Ikeja for sale,500.0,4,4,furnished,"Lagos State, Maryland",Maryland,Lagos State,False,"₦ 450,000,000"
5bdrm Duplex in Katampe Extension for sale,1200.0,5,6,unfurnished,"Katampe, Katampe Extension",Katampe Extension,Katampe,False,"₦ 250,000,000"
5bdrm Duplex in Ikate for sale,400.0,5,5,semi-furnished,"Lekki, Ikate",Ikate,Lekki,vip_gold,"₦ 1,100,000,000"
Furnished 5bdrm Duplex in Osapa London for sale,500.0,5,5,furnished,"Lekki, Osapa london",Osapa london,Lekki,False,"₦ 550,000,000"
5bdrm Duplex in Ikoyi for sale,300.0,5,5,semi-furnished,"Lagos State, Ikoyi",Ikoyi,Lagos State,vip_gold,"₦ 1,500,000,000"
Furnished 3bdrm Bungalow in Jericho for sale,500.0,3,3,furnished,"Ibadan, Jericho",Jericho,Ibadan,vip,"₦ 75,000,000"
5bdrm Duplex in Ikota for sale,315.0,5,5,semi-furnished,"Lekki, Ikota",Ikota,Lekki,vip_gold,"₦ 360,000,000"
5bdrm Duplex in Old Ikoyi for sale,400.0,5,5,semi-furnished,"Ikoyi, Old Ikoyi",Old Ikoyi,Ikoyi,vip_gold,"₦ 2,400,000,000"
2bdrm Apartment in Ikate for sale,250.0,2,2,semi-furnished,"Lekki, Ikate",Ikate,Lekki,vip_gold,"₦ 160,000,000"
Furnished 6bdrm Duplex in Chevron for sale,500.0,6,6,furnished,"Lekki, Chevron",Chevron,Lekki,False,"₦ 900,000,000"
